"Timestamp","Age","Gender","Education Level","Monthly income","The name of your current mobile service provider (eg. China Mobile HK)","Why choose your present mobile service provider?","How long have you been using your current mobile service provider?","Have you changed your mobile service provider before?","The network service quality of my former provider is not good enough.","The difference between the services I received from my former mobile service provider and my expectation is big and I am disappointed.","The technology innovation of my former mobile service provider has not improved much compared with other mobile service provider.","The customer care of my former mobile service provider is not good enough.","The price of my former mobile service provider is not reasonable.","The loyalty benefit does not change if I use the service longer. ( eg. The monthly price does not change even if I use the service longer. )","The value-added services of my former mobile service provider is not good enough.","My family or my friends are using my current service provider and I am influenced by them.","The promotion of my current service provider attracted me and gave me motivation to switch.","What is the main reason for your switching?","The quality of network of my current mobile service provider is great.","The difference between the service I received from my current mobile service provider and my expectation is not big or the service I received from my current mobile service provider is even better than my expectation.","The customer care of my current mobile service provider is good enough.","My mobile service provider has improved its technology enough compared with other mobile service providers.","The switching cost is high. （Including non-money cost, eg. I didn't switch my mobile service provider because I don't want to spend my time to do so.)","The loyalty benefit becomes higher if I use the service longer. ( eg. The monthly price will decrease if I use longer.)","The price is reasonable.","The value-added services of my current mobile service provider is good enough.","What is the main reason that you are still using the current provider?","What's the likelihood that you will switch by the end of the current contract? ","Why will you switch to another mobile service provider in the future? (Please select the top three reason.)"
"2020/04/28 11:11:06 PM GMT+8","22","Male","Graduate","Less than 10,000","CSL","The value-added services it provides compared with other providers","1-2 years","Yes","3","3","3","4","3","3","3","3","3","feel need to ","3","5","3","4","4","3","5","5","2year contract","Somewhat likely","Network quality;Value-added services"
"2020/04/28 11:17:26 PM GMT+8","21","Female","Diploma","Less than 10,000","China Mobile Hong Kong","College promotion;The value-added services it provides compared with other providers","1-2 years","Yes","5","5","3","4","1","3","4","2","5","Unwilling to change numbers","5","4","4","3","4","5","5","3","do not want to change ","Somewhat likely","Network quality;Technology;Customer care"
"2020/04/28 11:24:50 PM GMT+8","22","Female","Graduate","Less than 10,000","CSL","Corporate image;The value-added services it provides compared with other providers","0-1 year","Yes","4","4","4","4","4","3","3","4","4","discount","4","4","4","4","4","4","4","4","cheap","Likely","Price;Promotion;Network quality;Technology"
"2020/04/28 11:28:18 PM GMT+8","23","Male","Graduate","Less than 10,000","Others","Corporate image","2-5 years","Yes","1","2","2","2","4","5","4","1","3","Price","4","3","4","3","2","2","4","2","Same company as my home internet. HKBN.","Somewhat likely","Price;Promotion;Network quality;Technology"
"2020/04/28 11:28:36 PM GMT+8","21","Female","Graduate","10,001 to 20,000","China Mobile Hong Kong","Corporate image;College promotion;Family or friends' impact","2-5 years","Yes","4","4","2","4","5","1","3","4","5","Price","4","5","3","2","5","1","4","3","Lazy","Likely","Price;Network quality;Customer care"
"2020/04/28 11:41:58 PM GMT+8","22","Male","Diploma","Less than 10,000","China Mobile Hong Kong","Corporate image;College promotion;The value-added services it provides compared with other providers","over 5 years","No","","","","","","","","","","","2","2","2","2","4","1","4","1","Lazy to change.","Very likely","Price;Network quality;Value-added services"
"2020/04/29 12:00:44 AM GMT+8","22","Male","High school and less","Less than 10,000","SmarTone","The value-added services it provides compared with other providers","0-1 year","No","","","","","","","","","","","3","4","3","4","4","2","3","3","Cheap","Somewhat likely","Price;Network quality"
"2020/04/29 12:04:06 AM GMT+8","23","Female","Diploma","Less than 10,000","3 Hong Kong","Family or friends' impact","over 5 years","Yes","2","2","1","2","3","2","2","5","4","Unlimited data and speed","4","4","4","4","4","5","2","3","Unlimited data and speed","Not at all",""
"2020/04/29 12:05:16 AM GMT+8","21","Female","Diploma","Less than 10,000","SmarTone","Faster network speed","0-1 year","Yes","5","5","4","5","2","5","5","5","1","Faster network speed","5","4","5","5","2","3","3","3","Faster network speed ","Somewhat likely","Price;Network quality"
"2020/04/29 12:12:18 AM GMT+8","25","Male","Graduate","10,001 to 20,000","Others","College promotion","over 5 years","No","","","","","","","","","","","1","3","1","1","3","3","5","1","舍不得旧的内地号码","Not at all",""
"2020/04/29 12:20:50 AM GMT+8","22","Female","Diploma","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","3","3","3","2","4","2","2","2","Not care to change","Somewhat likely","Price"
"2020/04/29 12:57:20 AM GMT+8","21","Male","Graduate","Less than 10,000","China Mobile Hong Kong","The value-added services it provides compared with other providers","2-5 years","Yes","4","5","4","4","3","4","4","4","4","Price","4","4","4","4","4","4","4","4","Convenient","Somewhat likely","Technology;Customer care;Loyalty benefits;Value-added services"
"2020/04/29 2:56:31 AM GMT+8","21","Female","Graduate","10,001 to 20,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","5","4","5","4","3","4","4","4","Lazy to change ","Somewhat likely","Technology"
"2020/04/29 9:46:14 AM GMT+8","23","Female","Diploma","Less than 10,000","3 Hong Kong","Family or friends' impact","over 5 years","Yes","2","2","1","2","3","2","2","5","4","Unlimited data and speed","4","4","4","4","4","5","2","3","Unlimited data and speed","Not at all",""
"2020/04/29 4:22:07 PM GMT+8","22","Male","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","4","4","4","3","5","2","4","4","lazy","Somewhat likely","Price;Promotion;Network quality"
"2020/04/29 6:14:31 PM GMT+8","23","Female","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","5","5","5","5","5","5","5","5","Really nice service","Likely","Price;Promotion;Technology"
"2020/04/29 6:32:51 PM GMT+8","23","Female","Diploma","10,001 to 20,000","China Mobile Hong Kong","Dont want to change","2-5 years","No","","","","","","","","","","","3","4","3","3","2","2","2","2","The contract is on yealy basis","Likely","Price;Network quality;Customer care"
"2020/04/29 7:24:25 PM GMT+8","23","Female","Graduate","10,001 to 20,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","4","4","3","3","5","2","4","3","Switching time cost","Not at all",""
"2020/04/30 5:23:01 PM GMT+8","27","Male","Graduate","20,001 to 40,000","China Mobile Hong Kong","College promotion","over 5 years","No","","","","","","","","","","","3","4","3","3","5","3","5","3","sociality cost","Somewhat likely","Price;Network quality;Technology"
"2020/04/30 5:25:55 PM GMT+8","20","Female","Diploma","Less than 10,000","China Mobile Hong Kong","College promotion","1-2 years","No","","","","","","","","","","","4","4","2","3","3","2","2","3","lazy","Somewhat likely","Price;Network quality;Technology"
"2020/04/30 5:27:16 PM GMT+8","23","Male","Diploma","Less than 10,000","China Mobile Hong Kong","The value-added services it provides compared with other providers","1-2 years","No","","","","","","","","","","","5","4","4","4","3","3","3","4","Don’t wanna change","Somewhat likely","Network quality"
"2020/04/30 5:29:25 PM GMT+8","24","Male","Post Graduate","10,001 to 20,000","China Mobile Hong Kong","College promotion","1-2 years","No","","","","","","","","","","","5","5","5","5","5","5","5","5","quick","Somewhat likely","Network quality"
"2020/04/30 5:29:27 PM GMT+8","22","Female","Graduate","Less than 10,000","CSL","The value-added services it provides compared with other providers","1-2 years","Yes","4","4","3","4","3","4","4","4","3","China mobile rubbish","3","3","4","3","3","3","4","4","Contract","Surely","Leave hk"
"2020/04/30 5:31:42 PM GMT+8","26","Male","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","over 5 years","No","","","","","","","","","","","1","3","2","2","3","1","4","2","Cheap","Not at all",""
"2020/04/30 5:35:56 PM GMT+8","22","Female","Graduate","Less than 10,000","Others","College promotion","1-2 years","Yes","4","2","4","4","2","4","3","4","3","cheep","4","4","3","4","2","4","4","4","cheep","Somewhat likely","Price;Network quality;Customer care"
"2020/04/30 5:36:27 PM GMT+8","20","Male","Graduate","More than 80,000","3 Hong Kong","Family or friends' impact","2-5 years","No","","","","","","","","","","","3","2","3","3","4","3","3","3","For my opinion, it seems that there are no obvious difference among different mobile service provider. So it is not wise to waste time to switch to another provider.","Not at all",""
"2020/04/30 5:36:41 PM GMT+8","21","Female","Diploma","Less than 10,000","CSL","College promotion","0-1 year","Yes","5","5","3","4","5","5","4","3","3","termination due to the exchange program","3","3","3","4","3","1","2","3","2-year contract at least","Surely","Price"
"2020/04/30 5:38:58 PM GMT+8","22","Female","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","4","5","4","5","4","4","3","4","Lazy","Somewhat likely","Price;Promotion"
"2020/04/30 5:39:11 PM GMT+8","22","Female","Graduate","10,001 to 20,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","4","4","2","4","3","4","4","3","lazy","Somewhat likely","Price;Network quality;Customer care"
"2020/04/30 5:40:46 PM GMT+8","23","Male","Post Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","4","3","3","3","5","2","3","3","Too lazy to change","Likely","Price"
"2020/04/30 5:41:22 PM GMT+8","20","Male","Diploma","Less than 10,000","China Mobile Hong Kong","College promotion","1-2 years","No","","","","","","","","","","","3","4","3","3","5","1","4","3","laziness","Not at all",""
"2020/04/30 5:42:33 PM GMT+8","22","Female","Graduate","Less than 10,000","China Mobile Hong Kong","The value-added services it provides compared with other providers","2-5 years","No","","","","","","","","","","","3","3","3","3","3","3","3","3","lazy to change","Somewhat likely","Price;Promotion;Value-added services"
"2020/04/30 5:42:34 PM GMT+8","18","Male","Graduate","More than 80,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","1","2","3","3","3","4","3","4","懒得换","Surely","Price;Network quality"
"2020/04/30 5:43:55 PM GMT+8","21","Female","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","4","3","3","3","4","2","3","3","Lazy","Somewhat likely","Price;Promotion;Network quality"
"2020/04/30 5:44:22 PM GMT+8","19","Female","Diploma","Less than 10,000","China Mobile Hong Kong","College promotion","1-2 years","No","","","","","","","","","","","4","4","3","3","4","2","3","4","I'm too lazy to change the provider","Somewhat likely","Price;Network quality;Value-added services"
"2020/04/30 5:44:44 PM GMT+8","21","Male","Diploma","Less than 10,000","China Mobile Hong Kong","College promotion","1-2 years","No","","","","","","","","","","","4","4","4","4","4","4","4","4","convenience","Somewhat likely","Price;Network quality;Technology"
"2020/04/30 5:44:54 PM GMT+8","24","Female","Post Graduate","20,001 to 40,000","Others","College promotion","2-5 years","No","","","","","","","","","","","2","2","2","1","5","2","3","2","switching cost is high and  inconvenient","Likely","Price"
"2020/04/30 5:44:55 PM GMT+8","25","Female","Post Graduate","Less than 10,000","China Mobile Hong Kong","Corporate image;Family or friends' impact","1-2 years","Yes","2","3","3","2","2","3","4","2","3","Convenience","4","3","3","3","3","3","4","3","Convenience","Somewhat likely","Price;Technology"
"2020/04/30 5:45:42 PM GMT+8","23","Male","Post Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","0-1 year","No","","","","","","","","","","","3","3","3","4","2","4","3","3","Relatively cheap","Somewhat likely","Price;Promotion"
"2020/04/30 5:46:35 PM GMT+8","21","Male","Graduate","Less than 10,000","CSL","Family or friends' impact","2-5 years","No","","","","","","","","","","","4","4","4","4","3","2","4","5","Price","Not at all",""
"2020/04/30 5:46:53 PM GMT+8","22","Male","Graduate","10,001 to 20,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","3","4","2","2","4","1","2","1","too inconvenient to change, have linked to websites and apps","Likely","Price;Network quality"
"2020/04/30 5:46:54 PM GMT+8","24","Male","Post Graduate","Less than 10,000","China Mobile Hong Kong","College promotion;The value-added services it provides compared with other providers","2-5 years","Yes","4","3","3","3","1","4","1","1","1","Better mobile network services","4","3","4","3","2","1","3","4","Specific functions ","Somewhat likely","Price;Network quality;Value-added services"
"2020/04/30 5:46:59 PM GMT+8","22","Male","Diploma","Less than 10,000","China Mobile Hong Kong","Corporate image;College promotion","0-1 year","No","","","","","","","","","","","4","5","5","4","3","4","3","3","Dont want to change phone number","Not at all",""
"2020/04/30 5:47:28 PM GMT+8","21","Female","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","2","3","3","3","4","1","4","3","I'm too lazy to change","Very likely","Price;Network quality"
"2020/04/30 5:47:48 PM GMT+8","23","Female","Post Graduate","20,001 to 40,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","3","3","3","3","4","2","3","3","habituation","Likely","Price;Promotion;Network quality"
"2020/04/30 5:49:34 PM GMT+8","22","Female","Graduate","10,001 to 20,000","China Mobile Hong Kong","Family or friends' impact","2-5 years","No","","","","","","","","","","","5","4","4","4","1","2","4","3","No need to change.","Not at all",""
"2020/04/30 5:49:54 PM GMT+8","20","Prefer not to say","High school and less","Less than 10,000","3 Hong Kong","a lower price","1-2 years","No","","","","","","","","","","","4","2","1","1","4","1","4","1","Too lazy to switch one","Very likely","Customer care"
"2020/04/30 5:50:51 PM GMT+8","22","Female","Diploma","10,001 to 20,000","Others","Family or friends' impact","2-5 years","No","","","","","","","","","","","3","3","3","2","4","3","2","3","I don’t want to change my mobile number.","Likely","Price;Promotion;Network quality;Technology;Value-added services"
"2020/04/30 5:51:06 PM GMT+8","21","Male","Graduate","Less than 10,000","China Mobile Hong Kong","Family or friends' impact","2-5 years","No","","","","","","","","","","","4","4","5","4","4","4","3","4","lazy to change ","Somewhat likely","Price;Technology;Customer care"
"2020/04/30 5:51:24 PM GMT+8","23","Female","Graduate","Less than 10,000","China Mobile Hong Kong","Family or friends' impact","2-5 years","Yes","3","4","3","5","3","3","3","3","3","better package in other company","3","3","3","3","3","3","3","3","good service quality","Somewhat likely","Price;Technology;Customer care"
"2020/04/30 5:52:01 PM GMT+8","20","Female","Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","4","4","4","4","4","4","4","4","lazy","Likely","Price"
"2020/04/30 5:52:04 PM GMT+8","23","Female","Post Graduate","Less than 10,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","3","4","2","2","4","3","2","2","I’m lazy","Somewhat likely","Price"
"2020/04/30 5:52:53 PM GMT+8","22","Male","Graduate","20,001 to 40,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","3","3","2","4","3","4","1","3","Contract is not finished.","Very likely","Price;Network quality"
"2020/04/30 5:53:13 PM GMT+8","20","Female","Graduate","Less than 10,000","3 Hong Kong","Family or friends' impact","2-5 years","No","","","","","","","","","","","4","4","3","4","5","3","4","4","／","Somewhat likely","Price;Network quality"
"2020/04/30 5:54:54 PM GMT+8","21","Female","Graduate","Less than 10,000","CSL","Family or friends' impact","1-2 years","Yes","2","5","2","5","5","4","3","1","1","price","4","4","2","2","1","2","5","3","it’s good enough ","Somewhat likely","Price;Promotion;Customer care;Less promotion phone calls"
"2020/04/30 5:55:04 PM GMT+8","25","Male","Post Graduate","40,001 to 60,000","Others","Price","over 5 years","No","","","","","","","","","","","4","4","4","4","5","3","4","4","Just get used to it","Somewhat likely","Price;Network quality;Value-added services"
"2020/04/30 5:56:34 PM GMT+8","20","Female","Diploma","Less than 10,000","Others","Family or friends' impact;The value-added services it provides compared with other providers","1-2 years","No","","","","","","","","","","","4","4","4","4","3","4","4","3","It's connected to the wifi with home","Likely","Price;Network quality;Technology;Loyalty benefits"
"2020/04/30 5:56:35 PM GMT+8","PAN JIAQI","Female","Graduate","10,001 to 20,000","China Mobile Hong Kong","College promotion","2-5 years","No","","","","","","","","","","","4","3","3","4","5","2","2","5","Familiar with it","Surely","Price;Promotion;Loyalty benefits"
